,symbol,date,open,close,volume,high,low,split,dividend
351,MSFT,2018-08-08T00:00:00+0000,109.33,109.49,15487502.0,109.75,108.7599,1.0,0.0
352,MSFT,2018-08-07T00:00:00+0000,108.56,108.88,16080214.0,109.1,108.17,1.0,0.0
353,MSFT,2018-08-06T00:00:00+0000,108.12,108.13,20265947.0,108.42,107.559,1.0,0.0
354,MSFT,2018-08-03T00:00:00+0000,107.8,108.04,18659599.0,108.05,106.82,1.0,0.0
355,MSFT,2018-08-02T00:00:00+0000,105.4,107.57,26104258.0,108.09,104.84,1.0,0.0
356,MSFT,2018-08-01T00:00:00+0000,106.03,106.28,23628699.0,106.446,105.42,1.0,0.0
357,MSFT,2018-07-31T00:00:00+0000,106.49,106.08,27655152.0,106.72,105.38,1.0,0.0
358,MSFT,2018-07-30T00:00:00+0000,107.19,105.37,34668327.0,107.53,104.76,1.0,0.0
359,MSFT,2018-07-27T00:00:00+0000,110.18,107.68,37005292.0,110.18,106.14,1.0,0.0
360,MSFT,2018-07-26T00:00:00+0000,110.74,109.62,31372110.0,111.0,109.5,1.0,0.0
361,MSFT,2018-07-25T00:00:00+0000,107.955,110.83,30798058.0,111.15,107.6,1.0,0.0
362,MSFT,2018-07-24T00:00:00+0000,108.57,107.66,26316619.0,108.82,107.26,1.0,0.0
363,MSFT,2018-07-23T00:00:00+0000,106.3,107.97,29706955.0,108.14,106.13,1.0,0.0
364,MSFT,2018-07-20T00:00:00+0000,108.08,106.27,56038827.0,108.2,106.08,1.0,0.0
365,MSFT,2018-07-19T00:00:00+0000,104.93,104.4,40171646.0,105.31,103.89,1.0,0.0
366,MSFT,2018-07-18T00:00:00+0000,105.94,105.12,29493927.0,106.05,104.715,1.0,0.0
367,MSFT,2018-07-17T00:00:00+0000,104.61,105.95,25901726.0,106.5,104.32,1.0,0.0
368,MSFT,2018-07-16T00:00:00+0000,105.4,104.91,21786912.0,105.82,104.515,1.0,0.0
369,MSFT,2018-07-13T00:00:00+0000,104.37,105.43,24653500.0,105.6,104.09,1.0,0.0
370,MSFT,2018-07-12T00:00:00+0000,102.77,104.19,24335929.0,104.41,102.73,1.0,0.0
371,MSFT,2018-07-11T00:00:00+0000,101.15,101.98,19644648.0,102.34,101.1,1.0,0.0
372,MSFT,2018-07-10T00:00:00+0000,102.0,102.12,19293140.0,102.51,101.86,1.0,0.0
373,MSFT,2018-07-09T00:00:00+0000,101.6452,101.85,18211980.0,102.25,101.251,1.0,0.0
374,MSFT,2018-07-06T00:00:00+0000,99.885,101.16,19234627.0,101.43,99.67,1.0,0.0
375,MSFT,2018-07-05T00:00:00+0000,99.5,99.76,18977402.0,99.92,99.0299,1.0,0.0
376,MSFT,2018-07-03T00:00:00+0000,100.48,99.05,14670275.0,100.63,98.94,1.0,0.0
377,MSFT,2018-07-02T00:00:00+0000,98.1,100.01,19564521.0,100.06,98.0,1.0,0.0
378,MSFT,2018-06-29T00:00:00+0000,98.93,98.61,28053214.0,99.91,98.33,1.0,0.0
379,MSFT,2018-06-28T00:00:00+0000,97.38,98.63,26650671.0,99.11,97.26,1.0,0.0
380,MSFT,2018-06-27T00:00:00+0000,99.58,97.54,31298386.0,100.02,97.4,1.0,0.0
381,MSFT,2018-06-26T00:00:00+0000,98.82,99.08,26897244.0,100.08,98.75,1.0,0.0
382,MSFT,2018-06-25T00:00:00+0000,100.0,98.39,35433333.0,100.11,97.3,1.0,0.0
383,MSFT,2018-06-22T00:00:00+0000,100.41,100.41,38923105.0,100.77,99.625,1.0,0.0
384,MSFT,2018-06-21T00:00:00+0000,102.075,101.14,23198188.0,102.46,100.88,1.0,0.0
385,MSFT,2018-06-20T00:00:00+0000,101.37,101.87,26180792.0,102.52,101.12,1.0,0.0
386,MSFT,2018-06-19T00:00:00+0000,99.65,100.86,28653087.0,101.0,99.5,1.0,0.0
387,MSFT,2018-06-18T00:00:00+0000,100.01,100.86,23586037.0,101.11,99.42,1.0,0.0
388,MSFT,2018-06-15T00:00:00+0000,101.51,100.13,65738585.0,101.53,100.07,1.0,0.0
389,MSFT,2018-06-14T00:00:00+0000,101.65,101.42,25691811.0,102.03,101.0,1.0,0.0
390,MSFT,2018-06-13T00:00:00+0000,101.72,100.85,29492875.0,102.01,100.56,1.0,0.0
391,MSFT,2018-06-12T00:00:00+0000,101.1,101.31,18325228.0,101.4493,100.75,1.0,0.0
392,MSFT,2018-06-11T00:00:00+0000,101.37,101.05,23490894.0,101.59,100.67,1.0,0.0
393,MSFT,2018-06-08T00:00:00+0000,101.0924,101.63,22165128.0,101.95,100.54,1.0,0.0
394,MSFT,2018-06-07T00:00:00+0000,102.65,100.88,28232197.0,102.69,100.38,1.0,0.0
395,MSFT,2018-06-06T00:00:00+0000,102.48,102.49,21122917.0,102.6,101.9,1.0,0.0
396,MSFT,2018-06-05T00:00:00+0000,102.0,102.19,23514402.0,102.33,101.53,1.0,0.0
397,MSFT,2018-06-04T00:00:00+0000,101.26,101.67,27281623.0,101.86,100.851,1.0,0.0
398,MSFT,2018-06-01T00:00:00+0000,99.2798,100.79,28655624.0,100.86,99.17,1.0,0.0
399,MSFT,2018-05-31T00:00:00+0000,99.29,98.84,34140891.0,99.99,98.61,1.0,0.0
400,MSFT,2018-05-30T00:00:00+0000,98.31,98.95,22158528.0,99.25,97.91,1.0,0.0
401,MSFT,2018-05-29T00:00:00+0000,97.84,98.01,28670981.0,98.88,97.23,1.0,0.0
402,MSFT,2018-05-25T00:00:00+0000,98.3,98.36,18363918.0,98.98,97.86,1.0,0.0
